channel_link,id,title,date,length,views,description_snippet
/@JournalistAshrafAliMaitlo,Xso1NDn52tc,"June 29, 2023",2023-07-14,0:43,0,
/@JournalistAshrafAliMaitlo,lHARgEHc9QA,FM92,2023-08-24,2:08,1,
/@nadeshdatta,tmPqoVwIKR0,దత్తా దత్తా అనుకొందాం  Divya NamaSankeertana -SGS,2022-09-14,11:25,4376,"దత్తా దత్తా అనుకొందాం ఆనందంతో

పల్లవి : దత్తా దత్తా అనుకొందాం ఆనందంతో యెగ..."
/@JournalistAshrafAliMaitlo,3iHJU-6YPLA,14 august,2023-08-14,0:40,74,
/@JournalistAshrafAliMaitlo,e5zJMVZOfik,May the Lord do justice to the holy girl,2023-08-31,2:23,1,
/@JournalistAshrafAliMaitlo,rhfIdPLghBI,Babar Ka Azab,2023-08-24,1:37,2,
/@nadeshdatta,X0AigqR0KRw,మహా భారతంలో శివ ప్రార్థన,2022-09-14,5:17,616,"మహా భారతంలో శివ ప్రార్థన
గానం :పరమ పూజ్య శ్రీ శ్రీ శ్రీ గణపతి సచ్చిదానంద..."
/@davizinematheuzin11,626UKXY6kFc,jogando stumble guys pela primeira vez  nesse canal e eu consegui a coroa do stumble guys,2023-09-11,5:03,4,"joguei stumble guys pela primeira nesse canal é eu consegui a coroa do stumble guys🍷🗿🍷🗿é joguei bem demaise 👇🏼👇🏼👇🏼








desça mais👇🏼👇🏼👇🏼..."
/@davizinematheuzin11,TPGcZ6qQU2w,como fazer rabiola de pipa,2023-09-08,1:52,4,"aprenda a fazer rabiola de pipa (Pode ser de arraia ,caixão morcego e entre outros)de forma fácil com apenas sacola ,linha de pipa e a ,sua pipa 🪁🪁🪁🪁🗿🍷












deixa..."
/@JournalistAshrafAliMaitlo,pOtmqAwnJtQ,10 people were injured in a fight between two factions of the Sahita community Sahita near Ahmedpur.,2023-07-14,1:46,0,
/@JournalistAshrafAliMaitlo,oWd1uj4KQa0,"The house of justice for the poor, poor, helpless woman",2023-08-14,4:17,9,
/@nadeshdatta,WXS9mj8i3Z4,shiva ravana stotram,2022-09-14,4:08,1009,
/@nadeshdatta,RpE1sNDAigQ,చిన్న పిల్లల దోషాలు పోవడానికి ?,2022-09-14,0:34,194,
/@nadeshdatta,0KuLUQJYsUE,ఓం నమస్తే గణపతేయై.              Divya Nama Sankeertana.,2022-09-14,4:08,1415,"Divya Nama Sankeertana • SGS Ashrama, BHEL, Hyderabad • 14 April 2022"
/@nadeshdatta,bP1woRFAPBg,గోవింద నామము మధురం మధురం.  Divya Nama Sankeertana • SGS.,2022-09-14,6:57,5971,"Divya Nama Sankeertana • SGS Ashrama, BHEL, Hyderabad • 14 April 2022
గోవింద నామము మధురం మధురం భవ జలధి తారకం శుభ దాయ..."
/@JournalistAshrafAliMaitlo,opCOKEK3kr8,"The shopkeeper of Ahmedpur was robbed from the hands of Vyaji, due to coercion, he had taken 3 lakh",2023-09-13,1:26,0,
/@nadeshdatta,c_iqFurP8dY,కృష్ణా హరి మాధవ                      Divya Nama Sankeertana • SGS.,2022-09-14,11:47,449,
/@nadeshdatta,rq3zphI-FhY,( వారాహి మాత),2022-09-14,0:34,160,
/@nadeshdatta,gyp7GvxWPxQ,దత్త దిగంబర జయ జయ దత్తా.  Divya Nama Sankeertana,2022-09-14,11:05,6833,"Divya Nama Sankeertana • SGS Ashrama, BHEL, Hyderabad • 14 April 2022

దత్త దిగంబర జయ జయ దత్తా దత్త నిరంజన జయ జయ దత్త..."
/@JournalistAshrafAliMaitlo,fBvwvBgWMso,"Ahmedpur: The pain of the thieves could not be reduced, the thief stole the motorcycle parked",2023-08-24,0:52,1,
/@nadeshdatta,psKQo7Rd92I,కార్య సిద్ది హనుమాన్ మంత్రం,2022-09-14,2:23,1203,
/@JournalistAshrafAliMaitlo,XJQGusjBlho,"June 29, 2023",2023-07-14,0:52,3,
/@nadeshdatta,uBL_RHttp64,హరి హరి హరి హరి హరి యనరా Divya Nama Sankeertana • SGS,2022-09-14,6:55,4313,"హరిహరి హరిహరి హరి యనరా హరి

పల్లవి: హరిహరి హరిహరి హరి యనరా హరి పాదాలే శరణమ్..."
/@JournalistAshrafAliMaitlo,Le95Ybz_JIU,Radio FM92,2023-08-31,2:07,2,
/@nadeshdatta,I4pXwbhF_9g,వరాహ పురాణంలో శివుడు చేసిన అమ్మ వారి ప్రార్థన,2022-09-14,5:18,510,
/@JournalistAshrafAliMaitlo,k6LQTDDbIVA,NADRA has taken a big step for the convenience of citizens,2023-08-31,1:44,6,
/@nadeshdatta,Y5RZDsOk5O4,కృష్ణ లీల కీర్తనమ్.                       Divya Nama Sankeertana -  SGS  (6 మే 2021,2022-09-14,7:12,660,
/@nadeshdatta,6lnxsytFZ20,గాయేఁ హంసబ్ మిల్కే తేరి.       DivyaNama Sankeertana • SGS,2022-09-14,10:37,1557,"గాయేఁ హంసబ్ మిల్కే తేరి మహిమాకి గాథా

పల్లవి: గాయేఁ హంసబ్ మిల్కే తేరి మహిమ..."
/@nadeshdatta,rc7NpwfFWMg,ప్రయాణిస్తున్నప్పుడు పఠించవలసిన మంత్రం,2022-09-14,0:37,569,
/@nadeshdatta,uJRB0eeMlpk,"Shubhakrut Yugadi ,Happy  Tune  ,SGS Ashram,  Hyderabad",2022-09-14,16:38,662,
/@JournalistAshrafAliMaitlo,RPfEE30320I,"Ahmedpur, many villages and crops are under water due to continuous flow of Indus river",2023-08-14,2:33,8,
/@nadeshdatta,AMrvAu84ln4,పితృదేవతలకు శ్రద్ధ సమయంలో ..,2022-09-14,5:05,1416,
/@nadeshdatta,Qh9Wxo5bmPo,"శ్రీ రామ ,కృష్ణ మంత్రం",2022-09-14,1:10,862,
/@davizinematheuzin11,nHclxz4ScI8,jogando Shark evolution (de novo) e comi todo mundo,2023-08-31,5:02,43,"jogando Shark evolution (de novo) e comi todo mundo(lá ele)  jogando com o tubarão martelo 🐳🐋🐬🐟🐠🐡🦈🦈🦈🐙🐚









deixa o like aíííí please"
/@nadeshdatta,2BrGtYMrY6Q,Jaya Jayahe Mahishasura Mardini Ramya Kapardini Shaila Sute…….,2022-09-14,17:02,1990,"Jaya Jayahe Mahishasura Mardini Ramya Kapardini Shaila Sute…….

It was really an enlightening and highly informative discourse with a scintillating and spirit raising bhajan session this..."
/@JournalistAshrafAliMaitlo,VpwD-YaU3Yw,"Allah in the day, Allah in the night",2023-08-24,6:48,4,
/@nadeshdatta,SpbP9e5_IHQ,శ్రీ  దుర్గా ద్వాత్రింశన్నామ  మాలా *_Sri Durga Dwatrimsha Namamala Stotram_,2022-09-14,7:21,1616,"*శ్రీ  దుర్గా ద్వాత్రింశన్నామ  మాలా*
 *_Sri Durga Dwatrimsha Namamala Stotram_*
_దుర్గా దుర్గార్తి..."
/@JournalistAshrafAliMaitlo,E-6Kx4C7rzk,Poet Faqir Ali Khan Mitlo will not forget to listen to the glory of the dowry  Benazir Income Sapot.,2023-07-14,2:27,0,
/@nadeshdatta,walFDWF46g8,Guru Purnima • KSHT_ Frisco_ TX • 13 Jul 2022,2022-09-14,58:51,2131,
/@nadeshdatta,iVAaK2Icpww,రావోయి రావోయి రావోయి ఉగాది,2022-09-14,7:45,773,"రావోయి రావోయి రావోయి ఉగాది

పల్లవి: రావోయి రావోయి రావోయి ఉగాది శుభకృతికీ..."
